rclass	classfam	n_cpg	total_cov	mean5mC	genome_mean	delta_vs_genome
LINE	LINE/L1	3414323	154941744	0.689574074575409	0.71852565298171	-0.0289515784063005
LINE	LINE/L2	97052	3981430	0.727943453934893	0.71852565298171	0.00941780095318279
LINE	LINE/CR1	16224	679124	0.718062208668815	0.71852565298171	-0.000463444312895245
LINE	LINE/RTE-BovB	3798	164181	0.739410786266377	0.71852565298171	0.0208851332846669
LINE	LINE/RTE-X	2446	100923	0.714069612476839	0.71852565298171	-0.00445604050487092
LINE	LINE/Penelope	617	28135	0.774232113026479	0.71852565298171	0.0557064600447694
LINE	LINE/Dong-R4	267	10694	0.722463568356088	0.71852565298171	0.00393791537437771
LINE	LINE/I-Jockey	244	10608	0.743967335972851	0.71852565298171	0.0254416829911408
LINE	LINE/L1-Tx1	120	5591	0.53980200321946	0.71852565298171	-0.17872364976225
LTR	LTR/ERVL-MaLR	918577	37639368	0.726789910407104	0.71852565298171	0.00826425742539361
LTR	LTR/ERVK	823230	35580260	0.742989572364002	0.71852565298171	0.0244639193822919
LTR	LTR/ERVL	210707	8756903	0.721259057157536	0.71852565298171	0.00273340417582624
LTR	LTR/ERV1	121873	5112261	0.714023116523198	0.71852565298171	-0.00450253645851195
LTR	LTR/Gypsy	6063	250481	0.70647809813918	0.71852565298171	-0.0120475548425296
SINE	SINE/B4	653544	25637585	0.758368018134313	0.71852565298171	0.0398423651526033
SINE	SINE/ID	538696	21774600	0.843095934373077	0.71852565298171	0.124570281391367
SINE	SINE/B2	520635	20726548	0.765346084205629	0.71852565298171	0.0468204312239188
SINE	SINE/Alu	375711	14733015	0.750206922486674	0.71852565298171	0.0316812695049638
SINE	SINE/MIR	128868	5107607	0.713990463068126	0.71852565298171	-0.00453518991358426
SINE	SINE/5S-Deu-L2	1361	57444	0.667501589373999	0.71852565298171	-0.0510240636077108
SINE	SINE/tRNA	1237	53379	0.745462348489106	0.71852565298171	0.0269366955073965
SINE	SINE/tRNA-RTE	1079	45520	0.708634584797891	0.71852565298171	-0.00989106818381891
SINE	SINE/tRNA-Deu	355	15035	0.746263338875956	0.71852565298171	0.0277376858942463
