"signature","n_mutations","fraction"
"SBS37",428970,0.1942
"SBS39",267424,0.1211
"SBS8",256033,0.1159
"SBS58",157613,0.0713
"SBS32",140601,0.0636
"SBS30",113027,0.0512
"SBS9",97501,0.0441
"SBS31",90345,0.0409
"SBS25",77863,0.0352
"SBS54",75279,0.0341
"SBS44",59646,0.027
"SBS43",45707,0.0207
"SBS7a",40784,0.0185
"SBS3",40500,0.0183
"SBS13",37545,0.017
"SBS1",33868,0.0153
"SBS22",33389,0.0151
"SBS34",27303,0.0124
"SBS33",27113,0.0123
"SBS46",27199,0.0123
"SBS6",24166,0.0109
"SBS87",21886,0.0099
"SBS28",18226,0.0083
"SBS51",15114,0.0068
"SBS7c",13722,0.0062
"SBS84",7223,0.0033
"SBS16",6623,0.003
"SBS53",5797,0.0026
"SBS49",5421,0.0025
"SBS48",4644,0.0021
"SBS10b",4280,0.0019
"SBS17b",3173,0.0014
"SBS17a",1062,5e-04
"SBS10a",114,1e-04
