signature,n,frac
SBS11,10771,0.2097
SBS58,5991,0.1166
SBS3,5278,0.1027
SBS46,2665,0.0519
SBS31,2383,0.0464
SBS6,2285,0.0445
SBS25,2275,0.0443
SBS84,2080,0.0405
SBS39,1967,0.0383
SBS37,1831,0.0356
SBS57,1626,0.0317
SBS32,1595,0.031
SBS7b,1578,0.0307
SBS7a,1177,0.0229
SBS30,982,0.0191
SBS18,783,0.0152
SBS33,776,0.0151
SBS13,747,0.0145
SBS15,707,0.0138
SBS4,635,0.0124
SBS44,582,0.0113
SBS54,548,0.0107
SBS21,437,0.0085
SBS17b,314,0.0061
SBS89,309,0.006
SBS43,256,0.005
SBS87,161,0.0031
SBS28,149,0.0029
SBS50,143,0.0028
SBS10a,116,0.0023
SBS59,88,0.0017
SBS49,70,0.0014
SBS1,0,0
SBS2,0,0
SBS5,0,0
SBS7c,0,0
SBS7d,0,0
SBS8,0,0
SBS9,0,0
SBS10b,0,0
SBS10c,0,0
SBS10d,0,0
SBS12,0,0
SBS14,0,0
SBS16,0,0
SBS17a,0,0
SBS19,0,0
SBS20,0,0
SBS22,0,0
SBS23,0,0
SBS24,0,0
SBS26,0,0
SBS27,0,0
SBS29,0,0
SBS34,0,0
SBS35,0,0
SBS36,0,0
SBS38,0,0
SBS40,0,0
SBS41,0,0
SBS42,0,0
SBS45,0,0
SBS47,0,0
SBS48,0,0
SBS51,0,0
SBS52,0,0
SBS53,0,0
SBS55,0,0
SBS56,0,0
SBS60,0,0
SBS85,0,0
SBS86,0,0
SBS88,0,0
SBS90,0,0
SBS91,0,0
SBS92,0,0
SBS93,0,0
SBS94,0,0
SBS95,0,0
