sample	module	status
H_1_R1	Per_base_sequence_quality	PASS
H_1_R1	Per_sequence_quality_scores	PASS
H_1_R1	Per_sequence_GC_content	PASS
H_1_R1	Adapter_Content	PASS
H_1_R1	Sequence_Duplication_Levels	WARN
H_1_R1	Per_tile_sequence_quality	WARN
H_1_R2	Per_base_sequence_quality	PASS
H_1_R2	Adapter_Content	PASS
H_1_R2	Per_sequence_GC_content	WARN
H_1_R2	Sequence_Duplication_Levels	WARN
H_1_R2	Overrepresented_sequences	WARN
H_1_R2	Per_tile_sequence_quality	FAIL
RL_1_L4_R1	Per_base_sequence_quality	PASS
RL_1_L4_R1	Adapter_Content	PASS
RL_1_L4_R1	Sequence_Duplication_Levels	WARN
RL_1_L4_R1	Per_tile_sequence_quality	WARN
RL_1_L4_R1	Per_sequence_GC_content	FAIL
RL_1_L4_R2	Per_base_sequence_quality	PASS
RL_1_L4_R2	Adapter_Content	PASS
RL_1_L4_R2	Sequence_Duplication_Levels	WARN
RL_1_L4_R2	Overrepresented_sequences	WARN
RL_1_L4_R2	Per_tile_sequence_quality	FAIL
RL_1_L4_R2	Per_sequence_GC_content	FAIL
RL_1_L8_R1	Per_base_sequence_quality	PASS
RL_1_L8_R1	Adapter_Content	PASS
RL_1_L8_R1	Sequence_Duplication_Levels	PASS
RL_1_L8_R1	Per_tile_sequence_quality	WARN
RL_1_L8_R1	Per_sequence_GC_content	FAIL
RL_1_L8_R2	Per_base_sequence_quality	PASS
RL_1_L8_R2	Adapter_Content	PASS
RL_1_L8_R2	Sequence_Duplication_Levels	PASS
RL_1_L8_R2	Per_tile_sequence_quality	WARN
RL_1_L8_R2	Overrepresented_sequences	WARN
RL_1_L8_R2	Per_sequence_GC_content	FAIL
