chr	n_seg	width_gain	width_loss	width_neut	wlog2r	len	covered	frac_gain	frac_loss	frac_neut	call
chr1	115	10820000	12519090	244880000	-0.097	270518180	268219090	0.04	0.046	0.905	neutral
chr2	105	45320000	5400000	198896354	0.133	251712708	249616354	0.18	0.021	0.79	partial gain
chr3	62	2000000	6140000	180054155	-0.02	189428310	188194155	0.011	0.032	0.951	neutral
chr4	65	5560000	4993240.5	172580000	-0.089	184426481	183133240.5	0.03	0.027	0.936	neutral
chr5	44	3940000	29555152.5	137820000	-0.111	172190305	171315152.5	0.023	0.172	0.8	partial loss
chr6	67	6320000	9820000	129678326.5	-0.051	147156653	145818326.5	0.043	0.067	0.881	neutral
chr7	53	80000	6620000	129257298	-0.174	137014596	135957298	0.001	0.048	0.943	neutral
chr8	62	6260000	4900000	120391218	-0.038	132782436	131551218	0.047	0.037	0.907	neutral
chr9	31	2040000	5620000	113494075	-0.084	121768150	121154075	0.017	0.046	0.932	neutral
chr10	32	780000	4500000	101796904	-0.2	107713808	107076904	0.007	0.042	0.945	neutral
chr11	32	3660000	900000	94556683.5	0.163	99753367	99116683.5	0.037	0.009	0.948	neutral
chr12	44	40000	39700000	11694415.5	-0.697	52308831	51434415.5	0.001	0.759	0.224	loss
chr13	25	80995143	900000	26960000	0.566	109350286	108855143	0.741	0.008	0.247	gain
chr14	31	2080000	6100000	100294928	-0.066	109089856	108474928	0.019	0.056	0.919	neutral
chr15	44	2840000	4696084.5	99780000	-0.134	108192169	107316084.5	0.026	0.043	0.922	neutral
chr16	40	580000	16700000	73371454	-0.269	91442908	90651454	0.006	0.183	0.802	partial loss
chr17	43	3580000	6680000	82397902	-0.142	93515804	92657902	0.038	0.071	0.881	neutral
chr18	55	1840000	6400000	76797011	-0.084	86134022	85037011	0.021	0.074	0.892	neutral
chr19	42	960000	35520000	36933122.5	-0.621	74246245	73413122.5	0.013	0.478	0.497	partial loss
chr20	23	260000	1740000	53570574	-0.255	56021148	55570574	0.005	0.031	0.956	neutral
chrX	54	3420000	5460000	147799061.5	-0.116	157758123	156679061.5	0.022	0.035	0.937	neutral
chrY	25	380000	58013042	960000	-5.699	59846084	59353042	0.006	0.969	0.016	loss
