chrom,chr,pos,cov,log2r
NC_086019.1,chr1,10000,6.655,-2.64034347604691
NC_086019.1,chr1,30000,44.59825,0.0157043038768032
NC_086019.1,chr1,50000,50.9065,0.204583641752789
NC_086019.1,chr1,70000,24.711,-0.823313803955968
NC_086019.1,chr1,90000,0,-6.47929524299885
NC_086019.1,chr1,110000,0,-6.47929524299885
NC_086019.1,chr1,130000,0,-6.47929524299885
NC_086019.1,chr1,150000,0,-6.47929524299885
NC_086019.1,chr1,170000,0.41275,-5.61100357422605
NC_086019.1,chr1,190000,0.199,-5.9959308822855
NC_086019.1,chr1,210000,0.27425,-5.84842385998627
NC_086019.1,chr1,230000,1.52375,-4.46226416247101
NC_086019.1,chr1,250000,12.042,-1.83059972341561
NC_086019.1,chr1,270000,8.87975,-2.24974577213098
NC_086019.1,chr1,290000,0.9155,-4.97798349375519
NC_086019.1,chr1,310000,27.92175,-0.650371760364245
NC_086019.1,chr1,330000,18.0995,-1.26210330942421
NC_086019.1,chr1,350000,0,-6.47929524299885
NC_086019.1,chr1,370000,0,-6.47929524299885
NC_086019.1,chr1,390000,0,-6.47929524299885
NC_086019.1,chr1,410000,0,-6.47929524299885
NC_086019.1,chr1,430000,0,-6.47929524299885
NC_086019.1,chr1,450000,0,-6.47929524299885
NC_086019.1,chr1,470000,0,-6.47929524299885
NC_086019.1,chr1,490000,0,-6.47929524299885
NC_086019.1,chr1,510000,0,-6.47929524299885
NC_086019.1,chr1,530000,0,-6.47929524299885
NC_086019.1,chr1,550000,4.75175,-3.08649700200505
NC_086019.1,chr1,570000,32.1875,-0.448628106751909
NC_086019.1,chr1,590000,14.17375,-1.60412953715162
NC_086019.1,chr1,610000,12.744,-1.75202823226394
NC_086019.1,chr1,630000,32.9985,-0.413270652272764
NC_086019.1,chr1,650000,14.5555,-1.56707652669505
NC_086019.1,chr1,670000,14.70725,-1.55260786093099
NC_086019.1,chr1,690000,31.0605,-0.499247086555857
NC_086019.1,chr1,710000,13.27025,-1.69581239615595
NC_086019.1,chr1,730000,0.15325,-6.09358811834092
NC_086019.1,chr1,750000,8.0145,-2.38937343049961
NC_086019.1,chr1,770000,16.81025,-1.36574058740718
NC_086019.1,chr1,790000,37.96125,-0.213961496731238
NC_086019.1,chr1,810000,52.9785,0.261591852231702
NC_086019.1,chr1,830000,22.52675,-0.954056344872761
NC_086019.1,chr1,850000,0,-6.47929524299885
NC_086019.1,chr1,870000,0,-6.47929524299885
NC_086019.1,chr1,890000,1.456,-4.5113888727087
NC_086019.1,chr1,910000,6.463,-2.6795862195953
