ID	chr	start	end	nmark	log2r	width	state
HeDe_WGS	chr1	0	2080000	90	-0.8378	2080000	loss
HeDe_WGS	chr1	2100000	2280000	10	0.3858	180000	neutral
HeDe_WGS	chr1	2300000	3120000	42	-0.9004	820000	loss
HeDe_WGS	chr1	3140000	4240000	41	0.2159	1100000	neutral
HeDe_WGS	chr1	4260000	5140000	45	0.8764	880000	gain
HeDe_WGS	chr1	5160000	5860000	36	0.2992	700000	neutral
HeDe_WGS	chr1	5880000	8420000	124	-0.1459	2540000	neutral
HeDe_WGS	chr1	8440000	11000000	129	0.4555	2560000	gain
HeDe_WGS	chr1	11020000	13860000	143	-0.636	2840000	loss
HeDe_WGS	chr1	13880000	18020000	208	0.3266	4140000	neutral
HeDe_WGS	chr1	18040000	18520000	25	-0.7135	480000	loss
HeDe_WGS	chr1	18540000	18640000	6	0.8489	100000	gain
HeDe_WGS	chr1	18660000	18760000	6	-0.7478	100000	loss
HeDe_WGS	chr1	18780000	19120000	18	0.5036	340000	gain
HeDe_WGS	chr1	19140000	20240000	56	-0.3866	1100000	neutral
HeDe_WGS	chr1	20260000	20340000	5	0.883	80000	gain
HeDe_WGS	chr1	20360000	20800000	23	-0.3832	440000	neutral
HeDe_WGS	chr1	20820000	23380000	129	0.4567	2560000	gain
HeDe_WGS	chr1	23400000	24760000	69	-0.0332	1360000	neutral
HeDe_WGS	chr1	24780000	25380000	31	0.8247	600000	gain
HeDe_WGS	chr1	25400000	27860000	123	-0.729	2460000	loss
HeDe_WGS	chr1	27880000	28940000	54	0.0714	1060000	neutral
HeDe_WGS	chr1	28960000	30680000	86	-0.5705	1720000	loss
HeDe_WGS	chr1	30700000	36860000	307	0.5242	6160000	gain
HeDe_WGS	chr1	36880000	37520000	33	-0.7433	640000	loss
HeDe_WGS	chr1	37540000	37680000	7	0.7557	140000	gain
HeDe_WGS	chr1	37700000	38040000	18	-0.3539	340000	neutral
HeDe_WGS	chr1	38060000	40760000	136	-0.8324	2700000	loss
HeDe_WGS	chr1	40780000	42360000	74	-0.4694	1580000	loss
HeDe_WGS	chr1	42380000	44420000	103	0.3272	2040000	neutral
HeDe_WGS	chr1	44440000	45600000	59	-0.4253	1160000	loss
HeDe_WGS	chr1	45620000	52920000	366	0.4952	7300000	gain
HeDe_WGS	chr1	52940000	53000000	4	-2.3428	60000	loss
HeDe_WGS	chr1	53020000	53460000	23	0.8372	440000	gain
HeDe_WGS	chr1	53480000	55640000	109	0.3746	2160000	neutral
HeDe_WGS	chr1	55660000	58400000	130	0.7807	2740000	gain
HeDe_WGS	chr1	58420000	59060000	33	-1.0648	640000	loss
HeDe_WGS	chr1	59080000	65440000	319	0.5806	6360000	gain
HeDe_WGS	chr1	65460000	66720000	64	-0.6664	1260000	loss
HeDe_WGS	chr1	66740000	67000000	14	0.0148	260000	neutral
HeDe_WGS	chr1	67020000	69720000	136	-0.944	2700000	loss
HeDe_WGS	chr1	69740000	70100000	19	-0.3021	360000	neutral
HeDe_WGS	chr1	70120000	74200000	203	-0.9248	4080000	loss
HeDe_WGS	chr1	74220000	74460000	13	-0.3521	240000	neutral
HeDe_WGS	chr1	74480000	74880000	21	0.4337	400000	gain
HeDe_WGS	chr1	74900000	75020000	7	-0.1934	120000	neutral
HeDe_WGS	chr1	75040000	75580000	26	-1.1805	540000	loss
HeDe_WGS	chr1	75600000	76280000	35	0.2335	680000	neutral
HeDe_WGS	chr1	76300000	76440000	8	-0.8488	140000	loss
HeDe_WGS	chr1	76460000	77240000	40	0.2336	780000	neutral
HeDe_WGS	chr1	77260000	77640000	20	-0.781	380000	loss
HeDe_WGS	chr1	77660000	78440000	40	0.0701	780000	neutral
HeDe_WGS	chr1	78460000	82460000	201	-0.9389	4000000	loss
HeDe_WGS	chr1	82480000	82720000	13	0.2743	240000	neutral
HeDe_WGS	chr1	82740000	83180000	23	-0.7861	440000	loss
HeDe_WGS	chr1	83200000	83400000	10	3e-4	200000	neutral
HeDe_WGS	chr1	83420000	83620000	11	-1.2291	200000	loss
HeDe_WGS	chr1	83640000	83740000	6	0.0683	100000	neutral
HeDe_WGS	chr1	83760000	85540000	90	-1.0519	1780000	loss
HeDe_WGS	chr1	85560000	86320000	39	0.0664	760000	neutral
HeDe_WGS	chr1	86340000	86420000	5	1.6203	80000	gain
HeDe_WGS	chr1	86440000	94020000	380	-0.1619	7580000	neutral
HeDe_WGS	chr1	94040000	94540000	26	0.5485	500000	gain
HeDe_WGS	chr1	94560000	95900000	68	-0.15	1340000	neutral
HeDe_WGS	chr1	95920000	96260000	18	0.6509	340000	gain
HeDe_WGS	chr1	96280000	97060000	40	-0.0564	780000	neutral
HeDe_WGS	chr1	97080000	99140000	104	0.7028	2060000	gain
HeDe_WGS	chr1	99160000	101460000	116	0.2619	2300000	neutral
HeDe_WGS	chr1	101480000	101760000	15	1.0118	280000	gain
HeDe_WGS	chr1	101780000	102660000	45	-0.7607	880000	loss
