gene,chrom,pstart,pend,strand,mean5mC,n_cpg
LOC134485287,NC_086019.1,43926,47926,-,0.371416842105263,24
LOC134484926,NC_086019.1,60568,64568,-,0.670716958174905,35
LOC134484837,NC_086019.1,322862,326862,-,0.356699799599198,19
Vom2r65,NC_086019.1,635388,639388,+,0.356156712328767,17
LOC134484840,NC_086019.1,1009671,1013671,+,0.346683567134269,19
Znf431l,NC_086019.1,1260354,1264354,+,0.341866431718062,13
LOC134484930,NC_086019.1,1325185,1329185,+,0.453905911062907,19
LOC103690914,NC_086019.1,1364829,1368829,+,0.451128824742268,41
LOC134485289,NC_086019.1,1382146,1386146,+,0.474815153172867,21
LOC134484927,NC_086019.1,1608003,1612003,+,0.538282376395534,36
LOC134484928,NC_086019.1,1682072,1686072,-,0.400915156169995,19
Zfp1007l2,NC_086019.1,1788377,1792377,+,0.516338569206843,16
Zfp748,NC_086019.1,1843251,1847251,+,0.538359892328398,20
LOC134484845,NC_086019.1,1971393,1975393,+,0.37454520295203,20
Zfp950l8,NC_086019.1,2059007,2063007,+,0.663146354952238,44
Zfp160l,NC_086019.1,2161275,2165275,-,0.659131006160164,35
LOC134484934,NC_086019.1,2190177,2194177,-,0.55923317535545,19
LOC134484931,NC_086019.1,2226792,2230792,-,0.397532345679012,21
Znf729l,NC_086019.1,2229823,2233823,-,0.458831764705882,12
LOC134484932,NC_086019.1,2351347,2355347,+,0.754867652830189,69
LOC103690913,NC_086019.1,2386284,2390284,+,0.35572414068745,13
LOC134485293,NC_086019.1,2485106,2489106,-,0.341427395411606,16
LOC134484937,NC_086019.1,2514840,2518840,-,0.7125,8
LOC134482571,NC_086019.1,2690283,2694283,-,0.595414312977099,20
Vom2r3,NC_086019.1,2757624,2761624,+,0.482036853448276,17
Vom2r4,NC_086019.1,2887566,2891566,-,0.500846621621622,23
Vom2r5,NC_086019.1,2971745,2975745,+,0.33227057890563,18
Vom2r6,NC_086019.1,3023923,3027923,+,0.471768396946565,12
LOC120100082,NC_086019.1,3147235,3151235,-,0.391034624697337,31
H60al,NC_086019.1,3196679,3200679,-,0.354193220338983,42
Raet1ll1,NC_086019.1,3247638,3251638,-,0.446708701957941,29
LOC120098765,NC_086019.1,3247867,3251867,+,0.434916290909091,29
LOC108348301,NC_086019.1,3300104,3304104,-,0.493574248927039,19
H60bl2,NC_086019.1,3564376,3568376,-,0.383242351046699,21
Raet1d,NC_086019.1,3825182,3829182,-,0.539206052269601,39
Raet1ll2,NC_086019.1,3866554,3870554,-,0.278737390959556,89
Lrp11,NC_086019.1,3866665,3870665,+,0.284751178318932,90
LOC120098770,NC_086019.1,3887712,3891712,-,0.920717223572296,104
Pcmt1,NC_086019.1,3978751,3982751,-,0.131340773170329,152
Nup43,NC_086019.1,3962814,3966814,+,0.124107771494853,131
Lats1,NC_086019.1,3978801,3982801,+,0.131340773170329,152
Katna1,NC_086019.1,4020886,4024886,+,0.252002689215414,87
Ginm1,NC_086019.1,4080640,4084640,-,0.165096667928815,102
LOC120098771,NC_086019.1,4084752,4088752,-,0.772019185282523,57
Ppil4,NC_086019.1,4091956,4095956,+,0.181219781553398,78
Zc3h12d,NC_086019.1,4129674,4133674,+,0.877728558951965,57
Tab2,NC_086019.1,4243485,4247485,-,0.0575708567648033,221
Ust,NC_086019.1,4780579,4784579,-,0.258634832474227,164
Sash1,NC_086019.1,5236777,5240777,-,0.796258858267717,43
Samd5,NC_086019.1,5909153,5913153,-,0.146098340192044,175
Rpl27al2,NC_086019.1,5993116,5997116,-,0.790267861975643,43
Stxbp5,NC_086019.1,6153528,6157528,-,0.179000505663431,184
Adgb,NC_086019.1,6715632,6719632,-,0.833059958677686,87
Rab32,NC_086019.1,6779258,6783258,-,0.820038084687346,94
Grm1,NC_086019.1,7271447,7275447,-,0.81466460025652,97
Dctn3l1,NC_086019.1,7345898,7349898,-,0.282578126371216,108
Shprh,NC_086019.1,7347073,7351073,+,0.293465246539793,110
Fbxo30,NC_086019.1,7473636,7477636,+,0.0861583633309336,185
Epm2a,NC_086019.1,7545369,7549369,+,0.320646257986006,130
Utrn,NC_086019.1,9042487,9046487,-,0.0818287024221453,165
Stx11,NC_086019.1,9138227,9142227,-,0.275470390793575,123
Sf3b5,NC_086019.1,9175189,9179189,+,0.265529327976625,110
Plagl1,NC_086019.1,9295066,9299066,+,0.455633180076628,164
LOC134484947,NC_086019.1,9355308,9359308,-,0.839758337203902,72
