chr	accession	length
chr1	NC_086019.1	270518180
chr2	NC_086020.1	251712708
chr3	NC_086021.1	189428310
chr4	NC_086022.1	184426481
chr5	NC_086023.1	172190305
chr6	NC_086024.1	147156653
chr7	NC_086025.1	137014596
chr8	NC_086026.1	132782436
chr9	NC_086027.1	121768150
chr10	NC_086028.1	107713808
chr11	NC_086029.1	99753367
chr12	NC_086030.1	52308831
chr13	NC_086031.1	109350286
chr14	NC_086032.1	109089856
chr15	NC_086033.1	108192169
chr16	NC_086034.1	91442908
chr17	NC_086035.1	93515804
chr18	NC_086036.1	86134022
chr19	NC_086037.1	74246245
chr20	NC_086038.1	56021148
chrX	NC_086039.1	157758123
chrY	NC_086040.1	59846084
