chr	n_seg	width_gain	width_loss	width_neut	wlog2r	accession	len	covered	frac_gain	frac_loss	frac_neut	call
chr1	195	107520000	74080000	84840000	0.083	NC_086019.1	270518180	266440000	0.397	0.274	0.314	partial gain
chr10	63	48080000	10280000	48100000	0.246	NC_086028.1	107713808	106460000	0.446	0.095	0.447	partial gain
chr11	74	31600000	34760000	31920000	-0.127	NC_086029.1	99753367	98280000	0.317	0.348	0.32	partial gain
chr12	56	6640000	10500000	33660000	-0.04	NC_086030.1	52308831	50800000	0.127	0.201	0.643	partial loss
chr13	63	60440000	10960000	36700000	0.4	NC_086031.1	109350286	108100000	0.553	0.1	0.336	gain
chr14	55	38820000	47720000	21440000	-0.159	NC_086032.1	109089856	107980000	0.356	0.437	0.197	partial gain
chr15	68	38300000	34960000	33360000	-0.03	NC_086033.1	108192169	106620000	0.354	0.323	0.308	partial gain
chr16	65	14400000	45880000	29860000	-0.266	NC_086034.1	91442908	90140000	0.157	0.502	0.327	loss
chr17	71	41560000	17760000	32760000	0.034	NC_086035.1	93515804	92080000	0.444	0.19	0.35	partial gain
chr18	66	25920000	28620000	30280000	-0.083	NC_086036.1	86134022	84820000	0.301	0.332	0.352	partial gain
chr19	43	40880000	12400000	19940000	0.198	NC_086037.1	74246245	73220000	0.551	0.167	0.269	gain
chr2	164	91760000	94660000	62000000	-0.01	NC_086020.1	251712708	248420000	0.365	0.376	0.246	partial gain
chr20	39	8200000	16560000	30480000	-0.101	NC_086038.1	56021148	55240000	0.146	0.296	0.544	partial loss
chr3	132	76140000	43940000	66620000	0.091	NC_086021.1	189428310	186700000	0.402	0.232	0.352	partial gain
chr4	145	49760000	75600000	56100000	-0.101	NC_086022.1	184426481	181460000	0.27	0.41	0.304	partial gain
chr5	126	27720000	62020000	79940000	-0.156	NC_086023.1	172190305	169680000	0.161	0.36	0.464	partial gain
chr6	101	55520000	54620000	34900000	-0.11	NC_086024.1	147156653	145040000	0.377	0.371	0.237	partial gain
chr7	105	49820000	40100000	44800000	0.017	NC_086025.1	137014596	134720000	0.364	0.293	0.327	partial gain
chr8	82	62640000	30760000	37740000	0.028	NC_086026.1	132782436	131140000	0.472	0.232	0.284	partial gain
chr9	91	45980000	37660000	36280000	0.015	NC_086027.1	121768150	119920000	0.378	0.309	0.298	partial gain
chrX	81	38820000	2940000	113800000	0.07	NC_086039.1	157758123	155560000	0.246	0.019	0.721	partial gain
chrY	30	0	59200000	0	-3.974	NC_086040.1	59846084	59200000	0	0.989	0	loss
