region_id	n_cpg	mean5mC	total_cov	chrom	start	end	class	loi_state
Ascl2_promDMR	105	0.137332989195678	4165	NC_086019.1	207663126	207667126	promoter_DMR	loss(hypo)
Cd81_promDMR	105	0.137879245736248	4163	NC_086019.1	207663274	207667274	promoter_DMR	loss(hypo)
Cdkn1c_promDMR	282	0.709120918708986	7467	NC_086019.1	208085680	208089680	promoter_DMR	gain(hyper)
Dcn_promDMR	40	0.6693679375	1600	NC_086025.1	34165973	34169973	promoter_DMR	gain(hyper)
Dlk1_Meg3_IGDMR	131	0.794144903818547	3483	NC_086024.1	134256000	134261000	intergenic_ICR	gain(hyper)
Dlk1_promDMR	139	0.899827715205148	2486	NC_086024.1	134190491	134194491	promoter_DMR	gain(hyper)
Gnas_promDMR	193	0.924449812675616	6406	NC_086021.1	183487648	183491648	promoter_DMR	gain(hyper)
Grb10_promDMR	272	0.47109727489497	8807	NC_086032.1	90814399	90818399	promoter_DMR	intact(~0.5)
H19_ICR	134	0.905531176192726	4234	NC_086019.1	207163000	207168000	intergenic_ICR	gain(hyper)
H19_promDMR	115	0.907653476645435	3768	NC_086019.1	207160851	207164851	promoter_DMR	gain(hyper)
Igf2_promDMR	72	0.855725422885572	2010	NC_086019.1	207259263	207263263	promoter_DMR	gain(hyper)
Igf2r_promDMR	146	0.915455467479674	4920	NC_086019.1	50524878	50528878	promoter_DMR	gain(hyper)
Impact_promDMR	61	0.228683033620015	2558	NC_086036.1	4381546	4385546	promoter_DMR	loss(hypo)
Kcnq1_promDMR	124	0.337045634782609	2875	NC_086019.1	207719134	207723134	promoter_DMR	loss(hypo)
Meg3_promDMR	132	0.853129832061068	3275	NC_086024.1	134272056	134276056	promoter_DMR	gain(hyper)
Mest_promDMR	157	0.44508442067199	6637	NC_086022.1	60319814	60323814	promoter_DMR	intact(~0.5)
Nnat_promDMR	149	0.581741825613079	4404	NC_086021.1	166644373	166648373	promoter_DMR	intact(~0.5)
Peg10_promDMR	218	0.531190207939509	5290	NC_086022.1	33807026	33811026	promoter_DMR	intact(~0.5)
Peg3_promDMR	142	0.505140632192727	6517	NC_086019.1	76128965	76132965	promoter_DMR	intact(~0.5)
Phlda2_promDMR	144	0.279412585113876	4259	NC_086019.1	208125241	208129241	promoter_DMR	loss(hypo)
Plagl1_promDMR	164	0.455633180076628	6525	NC_086019.1	9295066	9299066	promoter_DMR	intact(~0.5)
Ppp1r9a_promDMR	17	0.723938732394366	710	NC_086022.1	33934949	33938949	promoter_DMR	gain(hyper)
Rasgrf1_promDMR	170	0.214845153868277	3477	NC_086026.1	99322986	99326986	promoter_DMR	loss(hypo)
Rtl1_promDMR	63	0.495399816063764	1631	NC_086024.1	134333780	134337780	promoter_DMR	intact(~0.5)
Slc22a18_promDMR	61	0.731820750347383	2159	NC_086019.1	208098032	208102032	promoter_DMR	gain(hyper)
Snrpn_promDMR	72	0.838119086096406	3589	NC_086019.1	120336919	120340919	promoter_DMR	gain(hyper)
Trappc9_promDMR	73	0.213206955645161	3968	NC_086025.1	106885364	106889364	promoter_DMR	loss(hypo)
Trpm5_promDMR	38	0.535177763819096	1592	NC_086019.1	207705380	207709380	promoter_DMR	intact(~0.5)
Tspan32_promDMR	50	0.758812059064807	1219	NC_086019.1	207617566	207621566	promoter_DMR	gain(hyper)
