gene	chr	start.x	end.x	log2r	state	i.start	i.end	mean5mC	n_cpg	pstart	pend	meth_flag	cn_state	mechanism	human_symbol	usym	chrom	start.y	end.y	strand	role	is_hcc	n_ctypes	ctypes	n_cohorts
Abl1	chr3	35230000	41250000	-0.0107	neutral	35377587	35377587	0.171160690056212	121	35375587	35379587	typical	neutral	none	ABL1	ABL1	NC_086021.1	35377587	35480843	+	Act	TRUE	2	HC,UCEC	2
Alb	chr14	4210000	20630000	-0.1168	neutral	17907043	17907043	0.736714769410391	41	17905043	17909043	typical	neutral	none	ALB	ALB	NC_086032.1	17891564	17907043	-	Act	TRUE	1	HC	2
Alk	chr6	5810000	28810000	0.03	neutral	28631431	28631431	0.106426266760762	162	28629431	28633431	hypo	neutral	promoter_hypo_only	ALK	ALK	NC_086024.1	28631431	29351321	+	Act	TRUE	6	BRCA,HC,NB,NSCLC,PRAD,SCLC	10
Card11	chr12	14610000	21010000	-0.5066	loss	18735088	18735088	0.741937395459976	64	18733088	18737088	typical	loss	het_loss	CARD11	CARD11	NC_086030.1	18735088	18872045	+	Act	TRUE	6	BLY,COREAD,DLBCL,HC,LY,NHLY	9
Cltc	chr10	65010000	79790000	-0.1331	neutral	72073308	72073308	0.211865392273994	50	72071308	72075308	typical	neutral	none	CLTC	CLTC	NC_086028.1	72014984	72073308	-	Act	TRUE	3	BRCA,CH,HC	3
Ctnnb1	chr8	127850000	132781218	-0.2112	neutral	129517576	129517576	0.163453705996816	228	129515576	129519576	typical	neutral	none	CTNNB1	CTNNB1	NC_086026.1	129517576	129544661	+	Act	TRUE	14	ACC,COREAD,HBC,HC,LUAD,MBL,NSCLC,PIA,PRAD,RHBDS,SBCC,ST,UCEC,WT	37
Dhx9	chr13	53910000	71930000	0.5636	gain	68189580	68189580	0.236679056744649	134	68187580	68191580	typical	gain	amplification	DHX9	DHX9	NC_086031.1	68152813	68189580	-	Act	TRUE	1	HC	1
Gnas	chr3	175950000	184150000	-0.2792	neutral	183489648	183489648	0.924449812675616	193	183487648	183491648	hyper	neutral	promoter_hyper_only	GNAS	GNAS	NC_086021.1	183489648	183554570	+	Act	TRUE	9	ACC,BCNET,BRCA,CH,COREAD,ESCA,HC,MBL,PAAD	14
Hnrnpa2b1	chr4	78110000	99230000	-0.0658	neutral	81875886	81875886	0.0457908707074498	259	81873886	81877886	hypo	neutral	promoter_hypo_only	HNRNPA2B1	HNRNPA2B1	NC_086022.1	81867354	81875886	-	Act	TRUE	1	HC	1
Idh1	chr9	44770000	94510000	-0.0019	neutral	74057442	74057442	0.321633756805808	108	74055442	74059442	typical	neutral	none	IDH1	IDH1	NC_086027.1	74027887	74057442	-	Act	TRUE	13	AML,CH,CM,GBM,HC,HGG,LGG,MBL,MM,NSCLC,OS,PIA,PRAD	27
Il6st	chr2	43130000	53990000	-0.0071	neutral	45798872	45798872	0.130071304690579	129	45796872	45800872	typical	neutral	none	IL6ST	IL6ST	NC_086020.1	45798872	45839501	+	Act	TRUE	1	HC	1
