region_id	n_cpg	mean5mC	total_cov	chrom	start	end	meth_state
CGI_1	41	0.108865996649916	1194	NC_086019.1	3867977	3868645	hypomethylated
CGI_10	29	0.888642427813789	1697	NC_086019.1	4188077	4188636	hypermethylated
CGI_100	40	0.0621759615384615	1560	NC_086019.1	24676591	24677131	hypomethylated
CGI_1000	60	0.0503715272136474	2462	NC_086019.1	174571498	174572480	hypomethylated
CGI_10000	44	0.033549750178444	1401	NC_086028.1	54109438	54110109	hypomethylated
CGI_10001	36	0.0686055499495459	991	NC_086028.1	54206923	54207523	hypomethylated
CGI_10002	37	0.0320910820451843	1682	NC_086028.1	54237790	54238391	hypomethylated
CGI_10003	37	0.0843286746987952	1660	NC_086028.1	54243851	54244355	hypomethylated
CGI_10004	144	0.086998140178297	6506	NC_086028.1	54258982	54260514	hypomethylated
CGI_10005	71	0.058243484925907	1957	NC_086028.1	54292512	54293330	hypomethylated
CGI_10006	41	0.0550134097421203	1745	NC_086028.1	54321850	54322449	hypomethylated
CGI_10007	94	0.0646431160400324	3697	NC_086028.1	54325971	54326951	hypomethylated
CGI_10008	47	0.962579572446556	1684	NC_086028.1	54471897	54472492	hypermethylated
CGI_10009	42	0.0402287510477787	2386	NC_086028.1	54543808	54544511	hypomethylated
CGI_1001	27	0.935363273727648	727	NC_086019.1	174600912	174601419	hypermethylated
CGI_10010	41	0.079286126669539	2321	NC_086028.1	54546599	54547184	hypomethylated
CGI_10011	30	0.164907315561066	1613	NC_086028.1	54552282	54552839	hypomethylated
CGI_10012	101	0.0636966257668712	4238	NC_086028.1	54559491	54560559	hypomethylated
CGI_10013	124	0.101806786427146	5010	NC_086028.1	54587827	54588977	hypomethylated
CGI_10014	36	0.05415125	1200	NC_086028.1	54616713	54617235	hypomethylated
CGI_10015	36	0.530676486988847	1076	NC_086028.1	54620605	54621123	intermediate
CGI_10016	58	0.0207778886118038	1203	NC_086028.1	54631920	54632786	hypomethylated
CGI_10017	33	0.0429214592274678	1165	NC_086028.1	54765855	54766356	hypomethylated
CGI_10018	35	0.0514897009966777	602	NC_086028.1	54779232	54779756	hypomethylated
CGI_10019	30	0.0469904	1000	NC_086028.1	54797431	54797952	hypomethylated
CGI_1002	73	0.0418175163398693	3060	NC_086019.1	174627417	174628218	hypomethylated
CGI_10020	73	0.0655284830997526	2426	NC_086028.1	54822568	54823435	hypomethylated
CGI_10021	105	0.0651277716794731	2733	NC_086028.1	54848946	54850063	hypomethylated
CGI_10022	133	0.0576758174631693	5566	NC_086028.1	54887409	54889027	hypomethylated
CGI_10023	76	0.0812248726400959	3337	NC_086028.1	54897901	54898820	hypomethylated
CGI_10024	41	0.0433537321624588	1822	NC_086028.1	54976929	54977537	hypomethylated
CGI_10025	68	0.0581915237134208	2973	NC_086028.1	54983556	54984283	hypomethylated
CGI_10026	49	0.0397324358974359	1560	NC_086028.1	55014512	55015279	hypomethylated
CGI_10027	42	0.0379287716405606	1213	NC_086028.1	55021523	55022147	hypomethylated
CGI_10028	58	0.0671480095068331	1683	NC_086028.1	55022570	55023272	hypomethylated
CGI_10029	54	0.967461218836564	1444	NC_086028.1	55053045	55053661	hypermethylated
CGI_1003	62	0.0425376389421234	2609	NC_086019.1	174628057	174628821	hypomethylated
CGI_10030	58	0.0203412490922295	1377	NC_086028.1	55056553	55057227	hypomethylated
